Estacion	Latitud	Longitud	Altitud	Departamento	Provincia	Distrito	Codigo	Tipo	Tecnologia	Estado
 SAN MARCOS 	-12.060555555556	-77.084166666667	72.0	LIMA	LIMA	LIMA	000619	M	 Convencional  	P
 LOMAS DE PASAMAYO 	-11.712811111111	-77.1824	40.0	LIMA	LIMA	ANCON	000598	M	 Convencional  	P
 ANCON (ESMAR) 	-11.769802777778	-77.172358333333	9.0	LIMA	LIMA	ANCON	111157	M2	 Automatica - Siap 	F
 EMA	-11.776055555556	-77.151388888889	47.0	LIMA	LIMA	ANCON	472A218A	M2	 Automatica  	F
 ISLETA ANCON 	-11.77945	-77.196911111111	2.0	LIMA	LIMA	ANCON	000599	M	 Convencional  	P
 LIMA ESTE 	-12.050277777778	-76.921666666667	510.0	LIMA	LIMA	ATE	47200634	M2	 Automatica - Sutron 	C
 SANTA ANITA 	-12.026111111111	-76.918611111111	362.0	LIMA	LIMA	ATE	00112271	M	 Automatica  	F
 SANTA CLARA 	-12.033611111111	-76.883611111111	436.0	LIMA	LIMA	ATE	000614	M	 Convencional  	C
 ATE 	-12.026111111111	-76.918611111111	362.0	LIMA	LIMA	ATE	112192	M	 Automatica  	F
 CARABAYLLO 	-11.902194444444	-77.033638888889	190.0	LIMA	LIMA	CARABAYLLO	111286	M	 Automatica  	F
 HUARANGAL 	-11.799211111111	-77.010372222222	404.0	LIMA	LIMA	CARABAYLLO	000618	M	 Convencional  	P
 AGUA AZUL 	-11.823886111111	-76.994997222222	353.0	LIMA	LIMA	CARABAYLLO	111161	M2	 Automatica - Siap 	F
 CHORRILLOS 	-12.166977777778	-77.016944444444	37.0	LIMA	LIMA	CHORRILLOS	000493	M	 Convencional  	C
 PANTANOS DE VILLA 	-12.210733333333	-76.988588888889	4.0	LIMA	LIMA	CHORRILLOS	000624	M	 Convencional  	F
 CIENEGUILLA 	-12.116944444444	-76.816944444444	307.0	LIMA	LIMA	CIENEGUILLA	000611	M	 Convencional  	C
 MANCHAY 	-12.141944444444	-76.829444444444	229.0	LIMA	LIMA	CIENEGUILLA	203005	H	 Convencional  	C
 COLLIQUE 	-11.931388888889	-77.064722222222	138.0	LIMA	LIMA	COMAS	111147	M	 Automatica - Siap 	C
 COLLIQUE 	-11.919891666667	-77.046744444444	147.0	LIMA	LIMA	COMAS	000487	M	 Convencional  	C
 CAMPO DE MARTE 	-12.070527777778	-77.043166666667	123.0	LIMA	LIMA	JESUS MARIA	006617	M	 Convencional  	F
 SEDE CENTRAL 	-12.079166666667	-77.042777777778	112.0	LIMA	LIMA	JESUS MARIA	472154B2	M2	 Automatica - Sutron 	C
 MODELO 	-12.079241666667	-77.042544444444	123.0	LIMA	LIMA	JESUS MARIA	000617	M	 Convencional  	C
 CAMPO DE MARTE 	-12.070566666667	-77.043197222222	124.0	LIMA	LIMA	JESUS MARIA	112181	M2	 Automatica - Sutron 	F
